nodeid,name
d583c0fb-f995-11e9-b345-06f597a7d5ce,Measurement Source Type
d583c0fd-f995-11e9-b345-06f597a7d5ce,Measurement Number
0eef8b37-8fa4-11ea-a6a6-02e7594ce0a0,Surficial Geology Type
0eef8b38-8fa4-11ea-a6a6-02e7594ce0a0,Land Cover Assessment Date
0eef8b3a-8fa4-11ea-a6a6-02e7594ce0a0,Depositional Process
d7636dab-f995-11e9-b345-06f597a7d5ce,Construction Technique Type
dbacac2a-fbf0-11e9-b345-06f597a7d5ce,Assessment Investigator Name 
dfccff79-fa4f-11e9-b345-06f597a7d5ce,Observed Vulnerability Exposure
dfccff7d-fa4f-11e9-b345-06f597a7d5ce,Exposure
dfccff7e-fa4f-11e9-b345-06f597a7d5ce,Vulnerability Type
dfed5e2f-fa3d-11e9-b345-06f597a7d5ce,Modification Type
ecb096d1-0a18-11eb-a232-02e7594ce0a0,Overall Disturbance Extent Type
ecb096d4-0a18-11eb-a232-02e7594ce0a0,Overall Damage Severity Type
ecb096d7-0a18-11eb-a232-02e7594ce0a0,Damage Trend Type
ecb096da-0a18-11eb-a232-02e7594ce0a0,Overall Damage Evaluations
f1600708-07c3-11eb-a232-02e7594ce0a0,Mitigation Activity Type
f1daeebb-fa4e-11e9-b345-06f597a7d5ce,Potential Impact Type
f6235ff0-f992-11e9-b345-06f597a7d5ce,Detailed Condition Assessment
fe048bf0-80dc-11ea-a6a6-02e7594ce0a0,File Upload
f9587704-b0ae-11ea-9b1f-02e7594ce0a0,Geometric Place Expression
34cfea42-c2c0-11ea-9026-02e7594ce0a0,Maximum Depth/Min Elevation
5297faa5-8e16-11ea-a6a6-02e7594ce0a0,Assessment Summary
6c572104-c7f2-11ea-a292-02e7594ce0a0,Geometric Place Expression
947ccaa0-1ea5-11eb-af98-02e7594ce0a0,Assessment Activity
34cfea63-c2c0-11ea-9026-02e7594ce0a0,Threat Probability 
34cfea64-c2c0-11ea-9026-02e7594ce0a0,Recommendation Type
34cfea65-c2c0-11ea-9026-02e7594ce0a0,Disturbance Date From
34cfea6f-c2c0-11ea-9026-02e7594ce0a0,Condition State
0800960e-abf7-11ea-b04a-02e7594ce0a0,Marine Isotope Stage Certainty
0863ccf8-8f76-11ea-a6a6-02e7594ce0a0,Quaternary Divisions Belief
0eef8b1b-8fa4-11ea-a6a6-02e7594ce0a0,Land Cover
0eef8b1e-8fa4-11ea-a6a6-02e7594ce0a0,Land Cover Type
0eef8b21-8fa4-11ea-a6a6-02e7594ce0a0,Geology
0eef8b24-8fa4-11ea-a6a6-02e7594ce0a0,Bedrock Geology
0eef8b27-8fa4-11ea-a6a6-02e7594ce0a0,Marine Environment
0eef8b2a-8fa4-11ea-a6a6-02e7594ce0a0,Surficial Geology
0eef8b2d-8fa4-11ea-a6a6-02e7594ce0a0,Topography
0eef8b30-8fa4-11ea-a6a6-02e7594ce0a0,Environment Assessment
0eef8b33-8fa4-11ea-a6a6-02e7594ce0a0,Bedrock Geology Type
0eef8b34-8fa4-11ea-a6a6-02e7594ce0a0,Topography Type
0eef8b35-8fa4-11ea-a6a6-02e7594ce0a0,Wave Climate
0eef8b36-8fa4-11ea-a6a6-02e7594ce0a0,Land Cover Assessment
ea8af473-b15a-11ea-9b1f-02e7594ce0a0,Disturbance Event
38cff73b-c77b-11ea-a292-02e7594ce0a0,Cultural Period Type
34cfea40-c2c0-11ea-9026-02e7594ce0a0,Minimum Depth/Max Elevation
0eef8b3e-8fa4-11ea-a6a6-02e7594ce0a0,Tidal Range
0eef8b3f-8fa4-11ea-a6a6-02e7594ce0a0,Fetch Type
12afd3e2-8f9d-11ea-a6a6-02e7594ce0a0,Feature Landform Type
1cecc895-f65c-11ea-afe6-0a5a9a4f6ef7,Geoarchaeological Timespace
1cecc898-f65c-11ea-afe6-0a5a9a4f6ef7,Geoarchaeological From Date
1cecc899-f65c-11ea-afe6-0a5a9a4f6ef7,AH Date From
5297faa8-8e16-11ea-a6a6-02e7594ce0a0,Geoarchaeology
c86fdfe8-cb7e-11ea-a292-02e7594ce0a0,COMPONENT ID
1cecc89c-f65c-11ea-afe6-0a5a9a4f6ef7,BP Date From
947ccaa6-1ea5-11eb-af98-02e7594ce0a0,Information Resource Acquisition Date
1cecc89d-f65c-11ea-afe6-0a5a9a4f6ef7,SH Date to
1cecc89e-f65c-11ea-afe6-0a5a9a4f6ef7,Geoarchaeological To Date
1cecc89f-f65c-11ea-afe6-0a5a9a4f6ef7,AH Date To
1cecc8a0-f65c-11ea-afe6-0a5a9a4f6ef7,BP Date To
1d53af1c-8f75-11ea-a6a6-02e7594ce0a0,Geoarchaeology Assessment
1d7c082e-8f7d-11ea-a6a6-02e7594ce0a0,Source of Evidence
267ece34-8fa0-11ea-a6a6-02e7594ce0a0,Feature Interpretation Type
2ce1f3f6-98db-11ea-b04a-02e7594ce0a0,Resource Name
2ce1f3fc-98db-11ea-b04a-02e7594ce0a0,Description Assignment
2ce1f402-98db-11ea-b04a-02e7594ce0a0,Resource Summary
2ce1f406-98db-11ea-b04a-02e7594ce0a0,General Description
2ce1f408-98db-11ea-b04a-02e7594ce0a0,General Description Type
2ce1f40d-98db-11ea-b04a-02e7594ce0a0,Name Type
2e24cefe-8f7d-11ea-a6a6-02e7594ce0a0,Source of Evidence Type
2e872836-8f9d-11ea-a6a6-02e7594ce0a0,Feature Landform Arrangement Type
301e96cc-8fa0-11ea-a6a6-02e7594ce0a0,Feature Interpretation Type Certainty
3650a276-8f76-11ea-a6a6-02e7594ce0a0,Quaternary Divisions
40c49e8c-cc08-11ea-a292-02e7594ce0a0,Investigator Role Type
